foia2_institution,year,rate
"AKRON, UNIVERSITY OF",1982,44
"AKRON, UNIVERSITY OF",1983,42
"AKRON, UNIVERSITY OF",1984,42
"AKRON, UNIVERSITY OF",1985,42
"AKRON, UNIVERSITY OF",1986,42
"AKRON, UNIVERSITY OF",1987,42
"AKRON, UNIVERSITY OF",1988,42
"AKRON, UNIVERSITY OF",1989,42
"AKRON, UNIVERSITY OF",1990,45
"AKRON, UNIVERSITY OF",1991,45
"AKRON, UNIVERSITY OF",1992,47
"AKRON, UNIVERSITY OF",1993,47
"AKRON, UNIVERSITY OF",1994,47
"AKRON, UNIVERSITY OF",1995,47
"AKRON, UNIVERSITY OF",1996,47
"AKRON, UNIVERSITY OF",1997,47
"AKRON, UNIVERSITY OF",1998,47
"AKRON, UNIVERSITY OF",1999,47
"AKRON, UNIVERSITY OF",2000,46
"AKRON, UNIVERSITY OF",2001,46
"AKRON, UNIVERSITY OF",2002,47
"AKRON, UNIVERSITY OF",2003,47
"AKRON, UNIVERSITY OF",2004,47
"AKRON, UNIVERSITY OF",2005,47
"AKRON, UNIVERSITY OF",2006,47
"AKRON, UNIVERSITY OF",2007,47
"ALABAMA - BIRMINGHAM, UNIVERSITY OF",1982,35.8
"ALABAMA - BIRMINGHAM, UNIVERSITY OF",1983,39.5
"ALABAMA - BIRMINGHAM, UNIVERSITY OF",1984,39.5
"ALABAMA - BIRMINGHAM, UNIVERSITY OF",1985,40
"ALABAMA - BIRMINGHAM, UNIVERSITY OF",1986,40
"ALABAMA - BIRMINGHAM, UNIVERSITY OF",1987,42.5
"ALABAMA - BIRMINGHAM, UNIVERSITY OF",1988,42
"ALABAMA - BIRMINGHAM, UNIVERSITY OF",1989,42
"ALABAMA - BIRMINGHAM, UNIVERSITY OF",1990,42
"ALABAMA - BIRMINGHAM, UNIVERSITY OF",1991,42
"ALABAMA - BIRMINGHAM, UNIVERSITY OF",1992,42
"ALABAMA - BIRMINGHAM, UNIVERSITY OF",1993,42
"ALABAMA - BIRMINGHAM, UNIVERSITY OF",1994,42.5
"ALABAMA - BIRMINGHAM, UNIVERSITY OF",1995,43
"ALABAMA - BIRMINGHAM, UNIVERSITY OF",1996,44
"ALABAMA - BIRMINGHAM, UNIVERSITY OF",1997,44
"ALABAMA - BIRMINGHAM, UNIVERSITY OF",1998,44
"ALABAMA - BIRMINGHAM, UNIVERSITY OF",1999,43.5
"ALABAMA - BIRMINGHAM, UNIVERSITY OF",2000,43.5
"ALABAMA - BIRMINGHAM, UNIVERSITY OF",2001,44
"ALABAMA - BIRMINGHAM, UNIVERSITY OF",2002,44.5
"ALABAMA - BIRMINGHAM, UNIVERSITY OF",2003,45
"ALABAMA - BIRMINGHAM, UNIVERSITY OF",2004,45
"ALABAMA - BIRMINGHAM, UNIVERSITY OF",2005,44.5
"ALABAMA - BIRMINGHAM, UNIVERSITY OF",2006,45.5
"ALABAMA - BIRMINGHAM, UNIVERSITY OF",2007,45
ALABAMA A&M UNIVERSITY,1982,36.5
ALABAMA A&M UNIVERSITY,1983,35.5
ALABAMA A&M UNIVERSITY,1984,27
ALABAMA A&M UNIVERSITY,1985,29.9
ALABAMA A&M UNIVERSITY,1986,32.9
ALABAMA A&M UNIVERSITY,1987,29.6
ALABAMA A&M UNIVERSITY,1988,40.1
ALABAMA A&M UNIVERSITY,1989,40.1
ALABAMA A&M UNIVERSITY,1990,39.1
ALABAMA A&M UNIVERSITY,1991,39.1
ALABAMA A&M UNIVERSITY,1992,39.1
ALABAMA A&M UNIVERSITY,1993,39.1
ALABAMA A&M UNIVERSITY,1994,39.1
ALABAMA A&M UNIVERSITY,1995,35.9
ALABAMA A&M UNIVERSITY,1996,35.9
ALABAMA A&M UNIVERSITY,1997,35.9
ALABAMA A&M UNIVERSITY,1998,35.9
ALABAMA A&M UNIVERSITY,1999,
ALABAMA A&M UNIVERSITY,2000,
ALABAMA A&M UNIVERSITY,2001,35.5
ALABAMA A&M UNIVERSITY,2002,35.5
ALABAMA A&M UNIVERSITY,2003,35.5
ALABAMA A&M UNIVERSITY,2004,35.5
ALABAMA A&M UNIVERSITY,2005,35.5
ALABAMA A&M UNIVERSITY,2006,35.5
ALABAMA A&M UNIVERSITY,2007,35.5
ALABAMA A&M UNIVERSITY - SCH OF AGRICULTURE,1982,41
ALABAMA A&M UNIVERSITY - SCH OF AGRICULTURE,1983,43.8
ALABAMA A&M UNIVERSITY - SCH OF AGRICULTURE,1984,42
ALABAMA A&M UNIVERSITY - SCH OF AGRICULTURE,1985,42.4
ALABAMA A&M UNIVERSITY - SCH OF AGRICULTURE,1986,44.5
ALABAMA A&M UNIVERSITY - SCH OF AGRICULTURE,1987,47
ALABAMA A&M UNIVERSITY - SCH OF AGRICULTURE,1988,50.7
ALABAMA A&M UNIVERSITY - SCH OF AGRICULTURE,1989,50.7
ALABAMA A&M UNIVERSITY - SCH OF AGRICULTURE,1990,43.8
ALABAMA A&M UNIVERSITY - SCH OF AGRICULTURE,1991,43.8
ALABAMA A&M UNIVERSITY - SCH OF AGRICULTURE,1992,43.8
ALABAMA A&M UNIVERSITY - SCH OF AGRICULTURE,1993,43.8
ALABAMA A&M UNIVERSITY - SCH OF AGRICULTURE,1994,43.8
ALABAMA A&M UNIVERSITY - SCH OF AGRICULTURE,1995,40.4
ALABAMA A&M UNIVERSITY - SCH OF AGRICULTURE,1996,40.4
ALABAMA A&M UNIVERSITY - SCH OF AGRICULTURE,1997,40.4
ALABAMA A&M UNIVERSITY - SCH OF AGRICULTURE,1998,40.4
ALABAMA A&M UNIVERSITY - SCH OF AGRICULTURE,1999,
ALABAMA A&M UNIVERSITY - SCH OF AGRICULTURE,2000,
ALABAMA A&M UNIVERSITY - SCH OF AGRICULTURE,2001,40
ALABAMA A&M UNIVERSITY - SCH OF AGRICULTURE,2002,40
ALABAMA A&M UNIVERSITY - SCH OF AGRICULTURE,2003,40
ALABAMA A&M UNIVERSITY - SCH OF AGRICULTURE,2004,40
ALABAMA A&M UNIVERSITY - SCH OF AGRICULTURE,2005,40
ALABAMA A&M UNIVERSITY - SCH OF AGRICULTURE,2006,40
ALABAMA A&M UNIVERSITY - SCH OF AGRICULTURE,2007,40
"ALABAMA: HUNTSVILLE, UNIVERSITY OF",1982,35
"ALABAMA: HUNTSVILLE, UNIVERSITY OF",1983,40.4
"ALABAMA: HUNTSVILLE, UNIVERSITY OF",1984,44
"ALABAMA: HUNTSVILLE, UNIVERSITY OF",1985,43
"ALABAMA: HUNTSVILLE, UNIVERSITY OF",1986,43
"ALABAMA: HUNTSVILLE, UNIVERSITY OF",1987,46
"ALABAMA: HUNTSVILLE, UNIVERSITY OF",1988,48
"ALABAMA: HUNTSVILLE, UNIVERSITY OF",1989,43
"ALABAMA: HUNTSVILLE, UNIVERSITY OF",1990,43.3
"ALABAMA: HUNTSVILLE, UNIVERSITY OF",1991,43.3
"ALABAMA: HUNTSVILLE, UNIVERSITY OF",1992,43.3
"ALABAMA: HUNTSVILLE, UNIVERSITY OF",1993,43.3
"ALABAMA: HUNTSVILLE, UNIVERSITY OF",1994,42
"ALABAMA: HUNTSVILLE, UNIVERSITY OF",1995,42.5
"ALABAMA: HUNTSVILLE, UNIVERSITY OF",1996,43
"ALABAMA: HUNTSVILLE, UNIVERSITY OF",1997,43
"ALABAMA: HUNTSVILLE, UNIVERSITY OF",1998,43
"ALABAMA: HUNTSVILLE, UNIVERSITY OF",1999,43
"ALABAMA: HUNTSVILLE, UNIVERSITY OF",2000,43
"ALABAMA: HUNTSVILLE, UNIVERSITY OF",2001,45.5
"ALABAMA: HUNTSVILLE, UNIVERSITY OF",2002,45.5
"ALABAMA: HUNTSVILLE, UNIVERSITY OF",2003,45.5
"ALABAMA: HUNTSVILLE, UNIVERSITY OF",2004,45.5
"ALABAMA: HUNTSVILLE, UNIVERSITY OF",2005,45.5
"ALABAMA: HUNTSVILLE, UNIVERSITY OF",2006,46.5
"ALABAMA: HUNTSVILLE, UNIVERSITY OF",2007,46.5
"ALABAMA: TUSCALOOSA, UNIVERSITY OF",1982,47.4
"ALABAMA: TUSCALOOSA, UNIVERSITY OF",1983,42.3
"ALABAMA: TUSCALOOSA, UNIVERSITY OF",1984,42.5
"ALABAMA: TUSCALOOSA, UNIVERSITY OF",1985,44.5
"ALABAMA: TUSCALOOSA, UNIVERSITY OF",1986,45.7
"ALABAMA: TUSCALOOSA, UNIVERSITY OF",1987,47.6
"ALABAMA: TUSCALOOSA, UNIVERSITY OF",1988,46
"ALABAMA: TUSCALOOSA, UNIVERSITY OF",1989,46
"ALABAMA: TUSCALOOSA, UNIVERSITY OF",1990,46
"ALABAMA: TUSCALOOSA, UNIVERSITY OF",1991,46
"ALABAMA: TUSCALOOSA, UNIVERSITY OF",1992,41.6
"ALABAMA: TUSCALOOSA, UNIVERSITY OF",1993,41.6
"ALABAMA: TUSCALOOSA, UNIVERSITY OF",1994,43
"ALABAMA: TUSCALOOSA, UNIVERSITY OF",1995,44
"ALABAMA: TUSCALOOSA, UNIVERSITY OF",1996,44
"ALABAMA: TUSCALOOSA, UNIVERSITY OF",1997,44
"ALABAMA: TUSCALOOSA, UNIVERSITY OF",1998,44
"ALABAMA: TUSCALOOSA, UNIVERSITY OF",1999,43
"ALABAMA: TUSCALOOSA, UNIVERSITY OF",2000,43
"ALABAMA: TUSCALOOSA, UNIVERSITY OF",2001,43
"ALABAMA: TUSCALOOSA, UNIVERSITY OF",2002,42
"ALABAMA: TUSCALOOSA, UNIVERSITY OF",2003,41
"ALABAMA: TUSCALOOSA, UNIVERSITY OF",2004,41
"ALABAMA: TUSCALOOSA, UNIVERSITY OF",2005,41
"ALABAMA: TUSCALOOSA, UNIVERSITY OF",2006,43
"ALABAMA: TUSCALOOSA, UNIVERSITY OF",2007,44.5
ALBANY MEDICAL COLLEGE,1982,
ALBANY MEDICAL COLLEGE,1983,
ALBANY MEDICAL COLLEGE,1984,
ALBANY MEDICAL COLLEGE,1985,
ALBANY MEDICAL COLLEGE,1986,
ALBANY MEDICAL COLLEGE,1987,
ALBANY MEDICAL COLLEGE,1988,
ALBANY MEDICAL COLLEGE,1989,
ALBANY MEDICAL COLLEGE,1990,
ALBANY MEDICAL COLLEGE,1991,
ALBANY MEDICAL COLLEGE,1992,
ALBANY MEDICAL COLLEGE,1993,
ALBANY MEDICAL COLLEGE,1994,
ALBANY MEDICAL COLLEGE,1995,
ALBANY MEDICAL COLLEGE,1996,
ALBANY MEDICAL COLLEGE,1997,
ALBANY MEDICAL COLLEGE,1998,
ALBANY MEDICAL COLLEGE,1999,
ALBANY MEDICAL COLLEGE,2000,55
ALBANY MEDICAL COLLEGE,2001,58
ALBANY MEDICAL COLLEGE,2002,58
ALBANY MEDICAL COLLEGE,2003,58
ALBANY MEDICAL COLLEGE,2004,58
ALBANY MEDICAL COLLEGE,2005,58
ALBANY MEDICAL COLLEGE,2006,58
ALBANY MEDICAL COLLEGE,2007,57
ARIZONA STATE UNIVERSITY,1982,51
ARIZONA STATE UNIVERSITY,1983,49
ARIZONA STATE UNIVERSITY,1984,42
ARIZONA STATE UNIVERSITY,1985,42
ARIZONA STATE UNIVERSITY,1986,47
ARIZONA STATE UNIVERSITY,1987,47
ARIZONA STATE UNIVERSITY,1988,47
ARIZONA STATE UNIVERSITY,1989,49
ARIZONA STATE UNIVERSITY,1990,51
ARIZONA STATE UNIVERSITY,1991,51.5
ARIZONA STATE UNIVERSITY,1992,52.5
ARIZONA STATE UNIVERSITY,1993,53.5
ARIZONA STATE UNIVERSITY,1994,51
ARIZONA STATE UNIVERSITY,1995,52
ARIZONA STATE UNIVERSITY,1996,52.5
ARIZONA STATE UNIVERSITY,1997,52.5
ARIZONA STATE UNIVERSITY,1998,52.5
ARIZONA STATE UNIVERSITY,1999,52.5
ARIZONA STATE UNIVERSITY,2000,52.5
ARIZONA STATE UNIVERSITY,2001,52.5
ARIZONA STATE UNIVERSITY,2002,50
ARIZONA STATE UNIVERSITY,2003,50
ARIZONA STATE UNIVERSITY,2004,49.5
ARIZONA STATE UNIVERSITY,2005,49.5
ARIZONA STATE UNIVERSITY,2006,49.5
ARIZONA STATE UNIVERSITY,2007,49.5
"ARIZONA, UNIVERSITY OF",1982,43
"ARIZONA, UNIVERSITY OF",1983,39
"ARIZONA, UNIVERSITY OF",1984,41
"ARIZONA, UNIVERSITY OF",1985,42
"ARIZONA, UNIVERSITY OF",1986,44
"ARIZONA, UNIVERSITY OF",1987,44
"ARIZONA, UNIVERSITY OF",1988,46.3
"ARIZONA, UNIVERSITY OF",1989,47
"ARIZONA, UNIVERSITY OF",1990,48.4
"ARIZONA, UNIVERSITY OF",1991,49
"ARIZONA, UNIVERSITY OF",1992,49
"ARIZONA, UNIVERSITY OF",1993,51.5
"ARIZONA, UNIVERSITY OF",1994,51.5
"ARIZONA, UNIVERSITY OF",1995,51.5
"ARIZONA, UNIVERSITY OF",1996,51.5
"ARIZONA, UNIVERSITY OF",1997,51.5
"ARIZONA, UNIVERSITY OF",1998,51.5
"ARIZONA, UNIVERSITY OF",1999,51.5
"ARIZONA, UNIVERSITY OF",2000,51.5
"ARIZONA, UNIVERSITY OF",2001,51.5
"ARIZONA, UNIVERSITY OF",2002,51.5
"ARIZONA, UNIVERSITY OF",2003,51.5
"ARIZONA, UNIVERSITY OF",2004,51
"ARIZONA, UNIVERSITY OF",2005,50.5
"ARIZONA, UNIVERSITY OF",2006,50.5
"ARIZONA, UNIVERSITY OF",2007,51
