foia2_institution,y1982,y1983,y1984,y1985,y1986,y1987,y1988,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007
"AKRON, UNIVERSITY OF",44,42,42,42,42,42,42,42,45,45,47,47,47,47,47,47,47,47,46,46,47,47,47,47,47,47
"ALABAMA - BIRMINGHAM, UNIVERSITY OF",35.8,39.5,39.5,40,40,42.5,42,42,42,42,42,42,42.5,43,44,44,44,43.5,43.5,44,44.5,45,45,44.5,45.5,45
ALABAMA A&M UNIVERSITY,36.5,35.5,27,29.9,32.9,29.6,40.1,40.1,39.1,39.1,39.1,39.1,39.1,35.9,35.9,35.9,35.9,,,35.5,35.5,35.5,35.5,35.5,35.5,35.5
ALABAMA A&M UNIVERSITY - SCH OF AGRICULTURE,41,43.8,42,42.4,44.5,47,50.7,50.7,43.8,43.8,43.8,43.8,43.8,40.4,40.4,40.4,40.4,,,40,40,40,40,40,40,40
"ALABAMA: HUNTSVILLE, UNIVERSITY OF",35,40.4,44,43,43,46,48,43,43.3,43.3,43.3,43.3,42,42.5,43,43,43,43,43,45.5,45.5,45.5,45.5,45.5,46.5,46.5
"ALABAMA: TUSCALOOSA, UNIVERSITY OF",47.4,42.3,42.5,44.5,45.7,47.6,46,46,46,46,41.6,41.6,43,44,44,44,44,43,43,43,42,41,41,41,43,44.5
ALBANY MEDICAL COLLEGE,,,,,,,,,,,,,,,,,,,55,58,58,58,58,58,58,57
ARIZONA STATE UNIVERSITY,51,49,42,42,47,47,47,49,51,51.5,52.5,53.5,51,52,52.5,52.5,52.5,52.5,52.5,52.5,50,50,49.5,49.5,49.5,49.5
"ARIZONA, UNIVERSITY OF",43,39,41,42,44,44,46.3,47,48.4,49,49,51.5,51.5,51.5,51.5,51.5,51.5,51.5,51.5,51.5,51.5,51.5,51,50.5,50.5,51
"ARKANSAS AT LITTLE ROCK, UNIVERSITY OF",,,,,,,,,,,,,,,,,,,,,,,,,,
"ARKANSAS, UNIVERSITY OF",37,38,40,42,43,43,44,44,44,45,45,45,41,41,42.5,42.5,42.5,40.2,40.2,40.2,42.5,42.5,42.5,42.5,42,42
ARKANSAS: FOR MEDICAL SCIENCES. UNIVERSITY OF,31,32,31,34,33,35,33,40,42,43,45,45,47,47,47,47,47,46,46,46,42,42,42,42,44,44
AUBURN UNIVERSITY,54,29,34,36,37,40,40,42,42,44.5,44.5,44.5,44.2,44.2,44.2,44.2,44.2,44.2,43,43,44,45,45,46,46,46
BALL STATE UNIVERSITY,49,49.6,51.2,51.2,51.2,52,52,52,52,52,52,52,52,52,52,52,52,42,42,42,43,43,43,43,43,43
BAYLOR COLLEGE OF MEDICINE,36,38,40.5,42.5,44.5,43.5,43,44,45,45.5,46.5,47,47.5,48,48,48,48,48,48,49.5,50.5,50.5,50.5,50,50,50
BOISE STATE UNIVERSITY,,,,,,,,,,,,,,,,,,,,,,,,,41,41
BOSTON COLLEGE,47,60,60,67,60,55,55,55,55,57,57,57,57,59,59,59,59,53,53,53,53,54,54,54.5,54.5,56
BOSTON UNIVERSITY,,,,,,,,,,,,,,,,,,,63,63,63,61.5,61.5,61.5,61.5,62.5
BRANDEIS UNIVERSITY,,,,,,,,,,,,,,,,,,55,55,55,55,55,54,54,54,54
BRIGHAM YOUNG UNIVERSITY,35,39.5,39.5,42,42,43,43,47,47,47,48,48,48,48,48,48,48,48,48,48,46,50,50,50,50,50
BROWN UNIVERSITY,,,,,,,,,,,,,,,58,60,60,58,58,58,57,56,55.5,55,55,57.5
"CAL POLY POMONA FOUNDATION, INC.",,,,,,,,,42,42,42,42,42,42,42,42,42,42,42,42,41.5,41.5,41.5,41.5,42,42
"CAL STATE L.A. UNIVERSITY AUXILIARY SERVICES, INC.",,,,,,,,,,,,,,,,,,,,,,,,,,
CAL STATE LONG BEACH & THE FOUNDATION,,,40,40,40,40,40,40,40,40,41,41,42,42.5,42.5,42.5,43,43,43,43,43,43,42.5,42.5,42.5,43.5
"CALIFORNIA - BERKELEY, UNIVERSITY OF",,41.9,41.9,44,45.6,45.6,46.3,47,49,49,49,49,49.5,49.5,49.9,49.9,49.9,50.4,50.4,50.4,50.4,51.5,52,52,52,52
"CALIFORNIA - DAVIS, UNIVERSITY OF",,,,39,39,39,39.2,39.2,41.2,41.2,42.7,42.7,44,44,44.5,44.5,44.5,44.5,46,46.5,48,48.5,48.5,48.5,51.5,51.5
"CALIFORNIA - IRVINE, UNIVERSITY OF",,39.5,39.5,41,43,43,45.5,45.5,47.5,47.5,47.5,49.5,49.5,49.5,49.9,49.9,49.9,50.4,50.4,50.4,50.4,51.5,51.5,51.5,52.5,52.5
"CALIFORNIA - LOS ANGELES, UNIVERSITY OF",,,,,,,,,43.5,43.5,43.5,43.5,41.5,41.5,49,49,52,52,53,53,53,52.5,52.5,53.5,54.5,54.5
"CALIFORNIA - RIVERSIDE, UNIVERSITY OF",,,,,,,,,,43,44,44,45,46,46,47,47,47,47.5,47.5,47.5,47.5,47.5,49.5,49.5,50
"CALIFORNIA - SAN DIEGO, UNIVERSITY OF",,,,36.5,43,43,45,46,49,49,50,50,50.5,50.5,51,51,51.5,51.5,51.5,51.5,52,52,52,53.5,54,54.5
"CALIFORNIA - SAN FRANCISCO, UNIVERSITY OF",,,,,,37,36.5,36.5,38.5,39,41,42,43,44.5,45,47,47,47.5,47.5,47.5,49,50.5,51.5,51.5,51.5,53.5
"CALIFORNIA - SANTA BARBARA, UNIVERSITY OF",31,39.4,43,43,45,45,45,45,45,46,46,45,45,45.5,45.5,45.5,46,46,46,46,46,47.5,47.5,47,47,51
"CALIFORNIA - SANTA CRUZ, UNIVERSITY OF",,45.1,45.1,45.1,45.1,45.1,45.5,45.5,45.5,45.5,47.6,47.6,47.6,47.6,47.6,48.5,48.5,48.5,49,49,49,49,49,49,49,51
CASE WESTERN RESERVE UNIVERSITY,51,51,51,50,50,50,50,50,51,51,51,51,51,51,51,53,53,53,53,53,53,53,53,53,54.5,54.5
CENTRAL FLORIDA. UNIVERSITY OF,,,39,47.3,49,49,51,49,49,48,48,42,41,41.5,43,43,43,42.5,42.5,42.5,43.5,43.5,44,43,43,42
CENTRAL MICHIGAN UNIVERSITY,46.2,41.7,38.9,38.8,38.6,41.2,41.2,41.4,41.4,41.4,42.8,42.8,42.8,39,39,39,39,39,39,39,42,42,42,42,40,40
CHARLES DREW UNIVERSITY OF MEDICAL & SCIENCE,70,70,70,70,70,,,,,,,42.8,42.8,42.8,42.8,43,43,43,43,43,42.5,42.5,42.5,42.5,42.5,42.5
CHICAGO STATE UNIVERSITY,,,,,,,,,,,,,,,,50,50,50,49,49,49,49,49,44.8,44.8,44.8
"CHICAGO, UNIVERSITY OF",57,69,69,69,69,69,62,62,65,65,60,51,55,55,55,53,53,51,51,51,51,52.5,52.5,52.5,52.5,53.5
"CINCINNATI, UNIVERSITY OF",40,50,50,50,49,51,53,53,54,54,54,54,53,53,53,54,54,53,53,53,53,53.5,53.5,53.5,56,56
CLEMSON UNIVERSITY,51,50,51,51,52,53,55.8,52.5,52.5,52.5,51,51,46.4,48.4,48.4,48.4,46,46,46,46,46,45,47,47,47,47
COLORADO AT BOULDER. UNIVERSITY OF,39.5,39.9,41.5,41.5,41.5,41.8,42.5,42.5,41.8,41.8,43,43.5,42.4,43.5,43.5,44.6,45.1,45.5,47.4,47.4,47.4,48,48,48.5,49,51.5
"COLORADO AT DENVER, UNIVERSITY OF & HEALTH SCIENCE",24.5,27,36,36,36,39,41.2,42,45,45,47.4,49.8,51.5,51.5,51.5,51,51,51,51,51,51,51,53,54,54,54
COLORADO STATE UNIVERSITY,52,38.8,38.8,38.8,39.9,39.9,39.9,39.9,45,45,45,44.7,44.7,45,45,45,45,45,45,45,45,45,45,45,46,46
COLUMBIA UNIVERSITY,,,,,,,,,,,,,,,,,,,70.5,63.5,63.5,63.5,63.5,61,61,61
CORNELL UNIVERSITY - CONTR. COLL.,,,,,,,,,,,,,,,,,,57,59,59,59,59,58,58,53.5,53.5
CORNELL UNIVERSITY -ENDOWED,,,,,,,,,,,,68,67,67.3,64,62.4,72,62.7,57,57,57,57,58,58,58,58
CORNELL UNIVERSITY MEDICAL,,,,,,,,,,,,,,,,,,,74.5,69.5,69.5,69.5,68,68,68,68
CREIGHTON UNIVERSITY,38.7,39,38,39.8,39.8,39.8,37,37,37,37,39,40,40.5,41,41,41,41,41,41,42.5,42.5,42.5,42.5,43.5,43.5,43.5
CSU FULLERTON,,,,,,,,,,,,,,,,,,,,,,,,,,
DARTMOUTH COLLEGE,,,,,,,,,,,,,,,,,,,59,59,58.5,58,58,59.4,59.9,59.9
DEPAUL UNIVERSITY,50.6,54.9,59.6,58,57.1,54.7,54.7,54.7,56.8,56.8,56.8,56,56,56,56,56,56,56,52,52,52,52,52,43,43,43
DREXEL UNIVERSITY,65,65,43,43,43,55,57,57,57,57,53,55,55,54,53,53,50,50,50,50,50,50,50,50,50,50
DUKE UNIVERSITY,50,50,50,50,50,50,50,50,50,50,52,52,52,52,54,54,54,54,54,54,54,54,54,54,54,55.5
EAST TENNESSEE STATE UNIVERSITY,,,,,,,,,,,,,,,,,,,,,,46,46,46,46,46
EASTERN MICHIGAN UNIVERSITY,30.2,30.2,30.2,25.7,25.7,25.7,49,49,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,46.5,46.5,46.5,43,43,43,50,50,50
EASTERN VIRGINIA MEDICAL SCHOOL,,,,,,,,,,,,,,,,,,,,,,39.8,39.8,40.8,40.8,40.8
EMORY UNIVERSITY,50,50,49,51.5,51.5,52,52,52,52,52,52,57,57,57,54.5,54.5,54.5,54.5,53.5,53,52,52,53,53,53,53
FLORIDA AGRICULTURAL & MECHANICAL UNIVERSITY,,,,,,41,41,41,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,45,45,45.5,45.5,45.5
