foia2_institution,original_institution
ARIZONA STATE UNIVERSITY,ARIZONA STATE UNIVERSITY
AUBURN UNIVERSITY AT AUBURN,AUBURN UNIVERSITY
BALL STATE UNIVERSITY,BALL STATE UNIVERSITY
BAYLOR COLLEGE OF MEDICINE,BAYLOR COLLEGE OF MEDICINE
BOSTON COLLEGE,BOSTON COLLEGE
BOSTON UNIVERSITY,BOSTON UNIVERSITY
BRANDEIS UNIVERSITY,BRANDEIS UNIVERSITY
BRIGHAM YOUNG UNIVERSITY,BRIGHAM YOUNG UNIVERSITY
BROWN UNIVERSITY,BROWN UNIVERSITY
CALIFORNIA STATE UNIVERSITY AT FULLERTON,CSU FULLERTON
CALIFORNIA STATE UNIVERSITY AT LONG BEACH,CAL STATE LONG BEACH & THE FOUNDATION
CALIFORNIA STATE UNIVERSITY AT LOS ANGELES,"CAL STATE L.A. UNIVERSITY AUXILIARY SERVICES, INC."
CASE WESTERN RESERVE UNIVERSITY,CASE WESTERN RESERVE UNIVERSITY
CENTRAL MICHIGAN UNIVERSITY,CENTRAL MICHIGAN UNIVERSITY
CHARLES R. DREW UNIVERSITY OF MEDICINE AND SCIENCE,CHARLES DREW UNIVERSITY OF MEDICAL & SCIENCE
CLEMSON UNIVERSITY,CLEMSON UNIVERSITY
COLORADO STATE UNIVERSITY AT FORT COLLINS,COLORADO STATE UNIVERSITY
COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,COLUMBIA UNIVERSITY
CORNELL UNIVERSITY,CORNELL UNIVERSITY -ENDOWED
CREIGHTON UNIVERSITY,CREIGHTON UNIVERSITY
CUNY - BROOKLYN COLLEGE,RFCUNY- BROOKLYN COLLEGE
CUNY - CITY COLLEGE,RFCUNY - CITY COLLEGE
CUNY - GRADUATE CENTER,RFCUNY - GRADUATE CENTER
CUNY - HUNTER COLLEGE,RFCUNY-HUNTER COLLEGE
CUNY - QUEENS COLLEGE,RFCUNY-QUEENS COLLEGE
DARTMOUTH COLLEGE,DARTMOUTH COLLEGE
DE PAUL UNIVERSITY,DEPAUL UNIVERSITY
DREXEL UNIVERSITY,DREXEL UNIVERSITY
DUKE UNIVERSITY,DUKE UNIVERSITY
EAST TENNESSEE STATE UNIVERSITY,EAST TENNESSEE STATE UNIVERSITY
EASTERN VIRGINIA MEDICAL SCHOOL,EASTERN VIRGINIA MEDICAL SCHOOL
EMORY UNIVERSITY,EMORY UNIVERSITY
FLORIDA ATLANTIC UNIVERSITY,FLORIDA ATLANTIC UNIVERSITY
FLORIDA INTERNATIONAL UNIVERSITY,FLORIDA INTERNATIONAL UNIVERSITY
FLORIDA STATE UNIVERSITY,FLORIDA STATE UNIVERSITY
GEORGE WASHINGTON UNIVERSITY,GEORGE WASHINGTON UNIVERSITY
GEORGETOWN UNIVERSITY,GEORGETOWN UNIVERSITY
GEORGIA STATE UNIVERSITY,GEORGIA STATE UNIVERSITY
HARVARD MEDICAL SCHOOL,HARVARD MEDICAL SCHOOL.
HARVARD UNIVERSITY,HARVARD UNIVERSITY
HARVARD UNIVERSITY SCHOOL OF PUBLIC HEALTH,HARVARD SCHOOL OF PUBLIC HEALTH
HOWARD UNIVERSITY,HOWARD UNIVERSITY
ILLINOIS INSTITUTE OF TECHNOLOGY,ILLINOIS INSTITUTE OF TECHNOLOGY
ILLINOIS STATE UNIVERSITY,ILLINOIS STATE UNIVERSITY
INDIANA UNIVERSITY,INDIANA UNIVERSITY
IOWA STATE UNIVERSITY,IOWA STATE UNIVERSITY
JACKSON STATE UNIVERSITY,JACKSON STATE UNIVERSITY
JOHNS HOPKINS UNIVERSITY,JOHNS HOPKINS UNIVERSITY
KANSAS STATE UNIVERSITY,KANSAS STATE UNIVERSITY
KENT STATE UNIVERSITY AT KENT,KENT STATE UNIVERSITY
LOMA LINDA UNIVERSITY,LOMA LINDA UNIVERSITY
LOUISIANA STATE UNIVERSITY AGRICULTURAL AND MECHANICAL COLLEGE AT BATON ROUGE,LOUISIANA STATE UNIVERSITY
LOUISIANA STATE UNIVERSITY HEALTH SCIENCES CENTER AT NEW ORLEANS,"LOUISIANA STATE UNIVERSITY HEALTH SCIENCES CENTER, NEW ORLEANS"
LOUISIANA STATE UNIVERSITY HEALTH SCIENCES CENTER AT SHREVEPORT,"LOUISIANA STATE UNIVERSITY HEALTH SCIENCES CENTER, SHREVEPORT"
LOYOLA UNIVERSITY MEDICAL CENTER,LOYOLA UNIVERSITY OF CHICAGO (MAYWOOD)
MARQUETTE UNIVERSITY,MARQUETTE UNIVERSITY
MARSHALL UNIVERSITY,MARSHALL UNIVERSITY
MEDICAL COLLEGE OF GEORGIA,MEDICAL COLLEGE OF GEORGIA
MEDICAL COLLEGE OF WISCONSIN,MEDICAL COLLEGE OF WISCONSIN
MEDICAL UNIVERSITY OF SOUTH CAROLINA,MEDICAL UNIVERSITY OF SOUTH CAROLINA
MEHARRY MEDICAL COLLEGE,MEHARRY MEDICAL COLLEGE
MICHIGAN STATE UNIVERSITY,MICHIGAN STATE UNIVERSITY
MISSISSIPPI STATE UNIVERSITY,MISSISSIPPI STATE UNIVERSITY
MONTANA STATE UNIVERSITY AT BOZEMAN,MONTANA STATE UNIVERSITY
MOREHOUSE SCHOOL OF MEDICINE,MOREHOUSE SCHOOL OF MEDICINE
MOUNT SINAI SCHOOL OF MEDICINE,MT SINAI SCHOOL OF MEDICINE
NEW JERSEY INSTITUTE OF TECHNOLOGY,NEW JERSEY INSTITUTE OF TECH.
NEW MEXICO HIGHLANDS UNIVERSITY,"NEW MEXICO, HIGHLANDS UNIVERSITY"
NEW YORK MEDICAL COLLEGE,NEW YORK MEDICAL COLLEGE
NEW YORK UNIVERSITY,NEW YORK UNIVERSITY
NEW YORK UNIVERSITY MEDICAL CENTER,NEW YORK UNIV MEDICAL SCHOOL
NORTH CAROLINA CENTRAL UNIVERSITY,NORTH CAROLINA CENTRAL UNIVERSITY
NORTH CAROLINA STATE UNIVERSITY AT RALEIGH,NORTH CAROLINA STATE UNIVERSITY
NORTH DAKOTA STATE UNIVERSITY,NORTH DAKOTA STATE UNIVERSITY
NORTHEASTERN UNIVERSITY,NORTHEASTERN UNIVERSITY
NORTHERN ARIZONA UNIVERSITY,NORTHERN ARIZONA UNIVERSITY
NORTHERN ILLINOIS UNIVERSITY,NORTHERN ILLINOIS UNIVERSITY
NORTHWESTERN UNIVERSITY,NORTHWESTERN UNIVERSITY
OAKLAND UNIVERSITY,OAKLAND UNIVERSITY
OHIO STATE UNIVERSITY,OHIO STATE UNIVERSITY RESEARCH FOUNDATION
OHIO UNIVERSITY AT ATHENS,OHIO UNIVERSITY
OREGON HEALTH AND SCIENCE UNIVERSITY,OREGON HEALTH & SCIENCE UNIVERSITY
OREGON STATE UNIVERSITY,OREGON STATE UNIVERSITY
PORTLAND STATE UNIVERSITY,PORTLAND STATE UNIVERSITY
PRINCETON UNIVERSITY,PRINCETON UNIVERSITY
PURDUE UNIVERSITY AT WEST LAFAYETTE,PURDUE UNIVERSITY
RICE UNIVERSITY,RICE UNIVERSITY
ROCKEFELLER UNIVERSITY,ROCKEFELLER UNIVERSITY
RUTGERS UNIVERSITY AT NEW BRUNSWICK,RUTGERS - STATE U OF NEW JERSEY
SAINT LOUIS UNIVERSITY,ST. LOUIS UNLVERSITY
SAN DIEGO STATE UNIVERSITY,SAN DIEGO STATE UNIVERSITY RESEARCH FOUNDATION
SAN FRANCISCO STATE UNIVERSITY,SAN FRANCISCO STATE UNIVERSITY
SAN JOSE STATE UNIVERSITY,SAN JOSE STATE UNIVERSITY
SOUTH DAKOTA STATE UNIVERSITY,SOUTH DAKOTA STATE UNIVERSITY
SOUTHERN ILLINOIS UNIVERSITY AT CARBONDALE,SOUTHERN ILLINOIS UNIVERSITY AT CARBONDALE
SOUTHERN ILLINOIS UNIVERSITY AT EDWARDSVILLE,SOUTHERN ILLINOIS UNIVERSITY AT EDWARDSVILLE
SOUTHERN METHODIST UNIVERSITY,SOUTHERN METHODIST UNIVERSITY
SUNY - BUFFALO STATE COLLEGE,RFSUNY - BUFFALO
SUNY - COLLEGE OF ENVIRONMENTAL SCIENCE AND FORESTRY,RFSUNY - COLLEGE OF ENVIRON SCI
SUNY - DOWNSTATE MEDICAL CENTER,RFSUNY - HLTH SCI CTR - BKLYN
SUNY - STATE UNIVERSITY OF NEW YORK AT ALBANY,RFSUNY-ALBANY
SUNY - STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,RFSUNY - BINGHAMTON
SUNY - STATE UNIVERSITY OF NEW YORK AT BUFFALO,RFSUNY - COLLEGE OF BUFFALO
