final_institution,post_subinstitution,original_institution
AARON DIAMOND AIDS RESEARCH CENTER,THE AARON DIAMOND AIDS RESEARCH CENTER,THE AARON DIAMOND AIDS RESEARCH CENTER
"ABT ASSOCIATES, INC.",,RELEVANT INSTITUTION NOT IN AGREEMENTS
ADDICTION RESEARCH INSTITUTE,,RELEVANT INSTITUTION NOT IN AGREEMENTS
ADELPHI UNIVERSITY,ADELPHI UNIVERSITY,ADELPHI UNIVERSITY
ADIRONDACK BIOMEDICAL RESEARCH INSTITUTE,,RELEVANT INSTITUTION NOT IN AGREEMENTS
AKRON CITY HOSPITAL,,RELEVANT INSTITUTION NOT IN AGREEMENTS
ALBANY MEDICAL CENTER,ALBANY MEDICAL COLLEGE OF UNION UNIVERSITY,ALBANY MEDICAL COLLEGE OF UNION UNIVERSITY
ALBERT EINSTEIN MEDICAL CENTER,ALBERT EINSTEIN HEALTHCARE NETWORK,ALBERT EINSTEIN HEALTHCARE NETWORK
ALBERT EINSTEIN MEDICAL CENTER,ALBERT EINSTEIN MEDICAL CENTER,ALBERT EINSTEIN HEALTHCARE NETWORK
ALFRED I. DU PONT HOSPITAL FOR CHILDREN,,RELEVANT INSTITUTION NOT IN AGREEMENTS
ALLEGHENY UNIVERSITY OF HEALTH SCIENCES (MCP HAHNEMANN UNIVERSITY),ALLEGHENY UNIVERSITY OF THE HEALTH SCIENCES,ALLEGHENY UNIVERSITY OF THE HEALTH SCIENCES
ALLEGHENY UNIVERSITY OF HEALTH SCIENCES (MCP HAHNEMANN UNIVERSITY),HAHNEMANN UNIVERSITY,HAHNEMANN UNIVERSITY
ALLEGHENY UNIVERSITY OF HEALTH SCIENCES (MCP HAHNEMANN UNIVERSITY),MEDICAL COLLEGE OF PENNSYLVANIA,MEDICAL COLLEGE OF PENNSYLVANIA
ALLEGHENY UNIVERSITY OF HEALTH SCIENCES (MCP HAHNEMANN UNIVERSITY),PHILADELPHIA HEALTH AND EDUCATION CORPORATION,PHILADELPHIA HEALTH AND EDUCATION CORPORATION
ALLEGHENY-SINGER RESEARCH INSTITUTE,ALLEGHENY-SINGER RESEARCH INSTITUTE,ALLEGHENY-SINGER RESEARCH INSTITUTE
ALTA BATES SUMMIT MEDICAL CENTER,,RELEVANT INSTITUTION NOT IN AGREEMENTS
AMC CANCER RESEARCH CENTER,,RELEVANT INSTITUTION NOT IN AGREEMENTS
AMERICAN DENTAL ASSOCIATION AND HEALTH FOUNDATION,AMERICAN DENTAL ASSOCIATION AND HEALTH FOUNDATION,AMERICAN DENTAL ASSOCIATION AND HEALTH FOUNDATION
AMERICAN INSTITUTES FOR RESEARCH,,RELEVANT INSTITUTION NOT IN AGREEMENTS
AMERICAN MUSEUM OF NATURAL HISTORY,,RELEVANT INSTITUTION NOT IN AGREEMENTS
AMERICAN NATIONAL RED CROSS,AMERICAN RED CROSS - NATIONAL HEADQUARTERS,AMERICAN RED CROSS - NATIONAL HEADQUARTERS
AMERICAN NATIONAL RED CROSS,"AMERICAN RED CROSS, NATIONAL CAPITAL AREA CHAPTER","AMERICAN RED CROSS, NATIONAL CAPITAL AREA CHAPTER"
"AMERICAN REGISTRY OF PATHOLOGY, INC.",,RELEVANT INSTITUTION NOT IN AGREEMENTS
AMERICAN UNIVERSITY,THE AMERICAN UNIVERSITY,THE AMERICAN UNIVERSITY
AMHERST COLLEGE,AMHERST COLLEGE,AMHERST COLLEGE
